Date : 2023-09-10 21:33:33
Directory : /Users/emirhaneyidogan/Projeler/unilocked-website
Total : 433 files,  50074 codes, 271 comments, 3282 blanks, all 53627 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/common/auth/styles                                                                                                                                        |          2 |        188 |          0 |         29 |        217 |
| src/common/auth/types                                                                                                                                         |          2 |         35 |          0 |         10 |         45 |
| src/common/core                                                                                                                                               |         19 |        492 |         36 |        117 |        645 |
| src/common/core/http                                                                                                                                          |          6 |        169 |          4 |         39 |        212 |
| src/common/core/pipes                                                                                                                                         |          2 |         41 |          1 |          5 |         47 |
| src/common/core/toast                                                                                                                                         |          3 |         31 |          0 |         12 |         43 |
| src/common/core/toast/toast                                                                                                                                   |          3 |         31 |          0 |         12 |         43 |
| src/common/core/translations                                                                                                                                  |          5 |        185 |         28 |         47 |        260 |
| src/common/core/upload                                                                                                                                        |          3 |         66 |          3 |         14 |         83 |
| src/common/scss                                                                                                                                               |          2 |         26 |          7 |         15 |         48 |
| src/common/ui                                                                                                                                                 |         46 |      1,429 |         19 |        292 |      1,740 |
| src/common/ui/event-card                                                                                                                                      |          4 |        257 |          2 |         34 |        293 |
| src/common/ui/info-card                                                                                                                                       |          5 |        140 |          0 |         25 |        165 |
| src/common/ui/login-box                                                                                                                                       |          5 |         30 |          1 |         13 |         44 |
| src/common/ui/logo                                                                                                                                            |          5 |         38 |          0 |         18 |         56 |
| src/common/ui/navbar                                                                                                                                          |         15 |        796 |         16 |        158 |        970 |
| src/common/ui/navbar (Files)                                                                                                                                  |          2 |         26 |          0 |          9 |         35 |
| src/common/ui/navbar/admin-navbar                                                                                                                             |          4 |        332 |          8 |         53 |        393 |
| src/common/ui/navbar/guest-navbar                                                                                                                             |          5 |        165 |          0 |         52 |        217 |
| src/common/ui/navbar/user-navbar                                                                                                                              |          4 |        273 |          8 |         44 |        325 |
| src/common/ui/slider                                                                                                                                          |         10 |        124 |          0 |         28 |        152 |
| src/common/ui/slider (Files)                                                                                                                                  |          5 |         62 |          0 |         14 |         76 |
| src/common/ui/slider/slider-item                                                                                                                              |          5 |         62 |          0 |         14 |         76 |
| src/common/ui/theming                                                                                                                                         |          2 |         44 |          0 |         16 |         60 |
| src/environments                                                                                                                                              |          2 |          6 |         11 |          4 |         21 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                      | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/emirhaneyidogan/Projeler/unilocked-website/README.md                                                                                                   | Markdown           |         14 |          0 |         16 |         30 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/angular.json                                                                                                | JSON               |        114 |          0 |          1 |        115 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/karma.conf.js                                                                                               | JavaScript         |         37 |          6 |          2 |         45 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/package-lock.json                                                                                           | JSON               |     12,110 |          0 |          1 |     12,111 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/package.json                                                                                                | JSON               |         44 |          0 |          1 |         45 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/proxy.conf.json                                                                                             | JSON               |          7 |          0 |          1 |          8 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/admin-home/admin-home.component.html                                                          | HTML               |        655 |          0 |         12 |        667 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/admin-home/admin-home.component.scss                                                          | SCSS               |        410 |          0 |         50 |        460 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/admin-home/admin-home.component.spec.ts                                                       | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/admin-home/admin-home.component.ts                                                            | TypeScript         |        108 |          0 |         13 |        121 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/admin-routing.module.ts                                                                       | TypeScript         |         41 |          0 |          3 |         44 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/admin.module.ts                                                                               | TypeScript         |         51 |          0 |          4 |         55 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/components/admin-menu/admin-menu.component.html                                               | HTML               |         45 |          0 |          5 |         50 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/components/admin-menu/admin-menu.component.scss                                               | SCSS               |         61 |          0 |         14 |         75 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/components/admin-menu/admin-menu.component.spec.ts                                            | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/components/admin-menu/admin-menu.component.ts                                                 | TypeScript         |        128 |          0 |          8 |        136 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/content-editing/content-editing.component.html                                                | HTML               |        468 |          0 |         24 |        492 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/content-editing/content-editing.component.scss                                                | SCSS               |        257 |          0 |         36 |        293 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/content-editing/content-editing.component.spec.ts                                             | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/content-editing/content-editing.component.ts                                                  | TypeScript         |         12 |          0 |          7 |         19 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/content-publishing-hub/content-publishing-hub.component.html                                  | HTML               |      2,404 |          0 |         46 |      2,450 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/content-publishing-hub/content-publishing-hub.component.scss                                  | SCSS               |        369 |          0 |         53 |        422 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/content-publishing-hub/content-publishing-hub.component.spec.ts                               | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/content-publishing-hub/content-publishing-hub.component.ts                                    | TypeScript         |         47 |          6 |          9 |         62 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/models/menu-item.ts                                                                           | TypeScript         |          7 |          0 |          0 |          7 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/partnership-platform/partnership-platform.component.html                                      | HTML               |        388 |          0 |         13 |        401 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/partnership-platform/partnership-platform.component.scss                                      | SCSS               |        293 |          0 |         41 |        334 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/partnership-platform/partnership-platform.component.spec.ts                                   | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/partnership-platform/partnership-platform.component.ts                                        | TypeScript         |        283 |          0 |         14 |        297 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/profile-editing/profile-editing.component.html                                                | HTML               |        574 |          0 |         20 |        594 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/profile-editing/profile-editing.component.scss                                                | SCSS               |        368 |          0 |         64 |        432 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/profile-editing/profile-editing.component.spec.ts                                             | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/admin/profile-editing/profile-editing.component.ts                                                  | TypeScript         |        207 |          6 |         15 |        228 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/app-routing.module.ts                                                                               | TypeScript         |         32 |          0 |          4 |         36 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/app.component.html                                                                                  | HTML               |          3 |          0 |          1 |          4 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/app.component.scss                                                                                  | SCSS               |          7 |          0 |          0 |          7 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/app.component.spec.ts                                                                               | TypeScript         |         31 |          0 |          5 |         36 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/app.component.ts                                                                                    | TypeScript         |         22 |          0 |          6 |         28 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/app.module.ts                                                                                       | TypeScript         |         31 |          0 |          4 |         35 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/models/pagination.ts                                                                                | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/models/post.ts                                                                                      | TypeScript         |         15 |          0 |          3 |         18 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/models/profile.ts                                                                                   | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities-extended/communities-extended.component.html                           | HTML               |        201 |          0 |          4 |        205 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities-extended/communities-extended.component.scss                           | SCSS               |         89 |          0 |         16 |        105 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities-extended/communities-extended.component.spec.ts                        | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities-extended/communities-extended.component.ts                             | TypeScript         |         24 |          0 |          6 |         30 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities.component.html                                                         | HTML               |        104 |          0 |          2 |        106 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities.component.scss                                                         | SCSS               |         81 |          0 |         15 |         96 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities.component.spec.ts                                                      | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities.component.ts                                                           | TypeScript         |         24 |          0 |          8 |         32 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies-extended/companies-extended.component.html                                 | HTML               |        337 |          0 |          1 |        338 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies-extended/companies-extended.component.scss                                 | SCSS               |         53 |          0 |          9 |         62 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies-extended/companies-extended.component.spec.ts                              | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies-extended/companies-extended.component.ts                                   | TypeScript         |         24 |          0 |          5 |         29 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies.component.html                                                             | HTML               |        153 |          0 |          5 |        158 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies.component.scss                                                             | SCSS               |         82 |          0 |         14 |         96 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies.component.spec.ts                                                          | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies.component.ts                                                               | TypeScript         |         24 |          0 |          7 |         31 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/company/company.component.html                                                                 | HTML               |        664 |          0 |         11 |        675 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/company/company.component.scss                                                                 | SCSS               |        212 |          0 |         29 |        241 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/company/company.component.spec.ts                                                              | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/company/company.component.ts                                                                   | TypeScript         |         49 |          0 |          7 |         56 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-content/main-content.component.html                                            | HTML               |         15 |          0 |          1 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-content/main-content.component.scss                                            | SCSS               |          0 |          0 |          1 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-content/main-content.component.spec.ts                                         | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-content/main-content.component.ts                                              | TypeScript         |         16 |          0 |          5 |         21 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-menu/main-menu.component.html                                                  | HTML               |         38 |          0 |          2 |         40 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-menu/main-menu.component.scss                                                  | SCSS               |         47 |          0 |          9 |         56 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-menu/main-menu.component.spec.ts                                               | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-menu/main-menu.component.ts                                                    | TypeScript         |         13 |          0 |          5 |         18 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post-content/post-content.component.html                                       | HTML               |         10 |          0 |          1 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post-content/post-content.component.scss                                       | SCSS               |          8 |          0 |          1 |          9 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post-content/post-content.component.spec.ts                                    | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post-content/post-content.component.ts                                         | TypeScript         |         18 |          0 |          9 |         27 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post.component.html                                                            | HTML               |         54 |          0 |          2 |         56 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post.component.scss                                                            | SCSS               |         96 |          0 |         26 |        122 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post.component.spec.ts                                                         | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post.component.ts                                                              | TypeScript         |         34 |          0 |         11 |         45 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/community-card/community-card.component.html                   | HTML               |          0 |          0 |          1 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/community-card/community-card.component.scss                   | SCSS               |          0 |          0 |          1 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/community-card/community-card.component.spec.ts                | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/community-card/community-card.component.ts                     | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/company-card/company-card.component.html                       | HTML               |         38 |          0 |          1 |         39 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/company-card/company-card.component.scss                       | SCSS               |        191 |          0 |         23 |        214 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/company-card/company-card.component.spec.ts                    | TypeScript         |         18 |          0 |          6 |         24 |
